id,name,calories,protein_g
1,"Overnight Protein Oats with Berries",360,46.5
2,"Greek Yogurt Parfait",320,0.0
3,"Avocado Toast with Poached Egg",420,0.0
4,"Banana Peanut Butter Smoothie Bowl",480,0.0
5,"Spinach & Feta Omelette",350,0.0
6,"Breakfast Burrito with Black Beans",540,0.0
7,"Smoked Salmon Bagel",520,0.0
8,"Blueberry Pancakes",610,0.0
9,"Tofu Scramble with Veggies",340,0.0
10,"Chia Seed Pudding with Mango",300,0.0
11,"Egg & Spinach Breakfast Sandwich",430,0.0
12,"Apple Cinnamon Oatmeal",360,0.0
13,"Smashed Chickpea & Avocado Toast",380,0.0
14,"Cottage Cheese & Fruit Bowl",330,0.0
15,"Breakfast Quinoa with Almonds",400,0.0
16,"Huevos Rancheros",520,0.0
17,"Protein Pancakes with Banana",470,0.0
18,"Savory Oatmeal with Mushrooms",380,0.0
19,"Breakfast Polenta with Tomato & Herb",360,0.0
20,"Coconut Yogurt & Granola Bowl",340,0.0
21,"Grilled Lemon Chicken with Rice",650,0.0
22,"Salmon with Quinoa & Greens",620,0.0
23,"Beef Stew with Root Vegetables",720,0.0
24,"Tofu Stir Fry with Vegetables",540,0.0
25,"Shrimp & Veggie Pasta",680,0.0
26,"Vegan Chickpea Curry",580,0.0
27,"Pork Tenderloin with Sweet Potato",700,0.0
28,"Lentil & Vegetable Shepherd's Pie",610,0.0
29,"Chicken Caesar Salad",520,0.0
30,"Quinoa & Roasted Vegetable Bowl",560,0.0
31,"Turkey Meatballs with Tomato Sauce",640,0.0
32,"Miso Glazed Salmon with Bok Choy",610,0.0
33,"Vegetable Pad Thai (Tofu)",700,0.0
34,"Steak Fajitas with Peppers",760,0.0
35,"Moroccan Chickpea Tagine",590,0.0
36,"BBQ Pulled Pork Sandwich",820,0.0
37,"Mediterranean Falafel Plate",650,0.0
38,"Pesto Pasta with Cherry Tomatoes",700,0.0
39,"Cajun Shrimp Rice Bowl",640,0.0
40,"Eggplant Parmesan with Spaghetti",770,0.0
41,"Grilled Vegetable & Halloumi Skewers",560,0.0
42,"Korean Beef Bowl with Kimchi",730,0.0
43,"Lemon Herb Baked Cod",520,0.0
44,"Mushroom Risotto",680,0.0
45,"Black Bean & Sweet Potato Tacos",590,0.0
46,"Chicken Tikka Masala with Rice",780,0.0
47,"Mediterranean Grilled Shrimp",560,0.0
48,"Butternut Squash & Sage Gnocchi",720,0.0
49,"Thai Green Curry with Tofu",650,0.0
50,"Herb Roasted Chicken with Vegetables",700,0.0
51,"Blackened Fish Tacos",620,0.0
52,"Mango & Cashew Chicken Stir Fry",680,0.0
53,"Ratatouille with Polenta",540,0.0
54,"Soba Noodle Bowl with Sesame Tofu",670,0.0
55,"Classic Margherita Pizza",850,0.0
56,"Seared Tuna Niçoise",620,0.0
57,"Buffalo Cauliflower with Brown Rice",560,0.0
58,"Ginger Garlic Beef & Broccoli",710,0.0
59,"Steak with Mashed Potatoes",820,0.0
61,"Honey Garlic Salmon with Jasmine Rice",640,0.0
62,"Pork Chop with Apple Compote",720,0.0
63,"Lamb Kofta with Saffron Rice",760,0.0
64,"Beef in Cream Sauce with Egg Noodles",800,0.0
65,"BBQ Pulled Pork with Sweet Potato Mash",820,0.0
66,"Garlic Butter Shrimp with Rice",560,0.0
67,"Teriyaki Chicken and Rice",630,0.0
68,"Sausage and Potato Bake",760,0.0
69,"Baked Cod with Lemon Butter and Rice",520,0.0
70,"Turkey Meatloaf with Mustard Glaze and Mash",680,0.0
71,"Creamy Prawn Pasta",720,0.0
72,"Ham & Cheese Omelette with Roasted Potatoes",580,0.0
73,"Tuna Melt with Rustic Bread",610,0.0
74,"Chicken & Bacon Carbonara",760,0.0
75,"Beef and Cheese Quesadilla",780,0.0
76,"Seared Scallops with Lemon Butter and Rice",480,0.0
77,"Chicken Alfredo with Fettuccine",840,0.0
78,"Lamb & Chickpea Stew (no veg)",700,0.0
