slug,name
overnight_protein_oats_with_berries,Overnight Protein Oats with Berries
greek_yogurt_parfait,Greek Yogurt Parfait
avocado_toast_with_poached_egg,Avocado Toast with Poached Egg
banana_peanut_butter_smoothie_bowl,Banana Peanut Butter Smoothie Bowl
spinach_feta_omelette,Spinach & Feta Omelette
breakfast_burrito_with_black_beans,Breakfast Burrito with Black Beans
smoked_salmon_bagel,Smoked Salmon Bagel
blueberry_pancakes,Blueberry Pancakes
tofu_scramble_with_veggies,Tofu Scramble with Veggies
chia_seed_pudding_with_mango,Chia Seed Pudding with Mango
egg_spinach_breakfast_sandwich,Egg & Spinach Breakfast Sandwich
apple_cinnamon_oatmeal,Apple Cinnamon Oatmeal
smashed_chickpea_avocado_toast,Smashed Chickpea & Avocado Toast
cottage_cheese_fruit_bowl,Cottage Cheese & Fruit Bowl
breakfast_quinoa_with_almonds,Breakfast Quinoa with Almonds
huevos_rancheros,Huevos Rancheros
protein_pancakes_with_banana,Protein Pancakes with Banana
savory_oatmeal_with_mushrooms,Savory Oatmeal with Mushrooms
breakfast_polenta_with_tomato_herb,Breakfast Polenta with Tomato & Herb
coconut_yogurt_granola_bowl,Coconut Yogurt & Granola Bowl
grilled_lemon_chicken_with_rice,Grilled Lemon Chicken with Rice
salmon_with_quinoa_greens,Salmon with Quinoa & Greens
beef_stew_with_root_vegetables,Beef Stew with Root Vegetables
tofu_stir_fry_with_vegetables,Tofu Stir Fry with Vegetables
shrimp_veggie_pasta,Shrimp & Veggie Pasta
vegan_chickpea_curry,Vegan Chickpea Curry
pork_tenderloin_with_sweet_potato,Pork Tenderloin with Sweet Potato
lentil_vegetable_shepherds_pie,Lentil & Vegetable Shepherd's Pie
chicken_caesar_salad,Chicken Caesar Salad
quinoa_roasted_vegetable_bowl,Quinoa & Roasted Vegetable Bowl
turkey_meatballs_with_tomato_sauce,Turkey Meatballs with Tomato Sauce
miso_glazed_salmon_with_bok_choy,Miso Glazed Salmon with Bok Choy
vegetable_pad_thai_tofu,Vegetable Pad Thai (Tofu)
steak_fajitas_with_peppers,Steak Fajitas with Peppers
moroccan_chickpea_tagine,Moroccan Chickpea Tagine
bbq_pulled_pork_sandwich,BBQ Pulled Pork Sandwich
mediterranean_falafel_plate,Mediterranean Falafel Plate
pesto_pasta_with_cherry_tomatoes,Pesto Pasta with Cherry Tomatoes
cajun_shrimp_rice_bowl,Cajun Shrimp Rice Bowl
eggplant_parmesan_with_spaghetti,Eggplant Parmesan with Spaghetti
grilled_vegetable_halloumi_skewers,Grilled Vegetable & Halloumi Skewers
korean_beef_bowl_with_kimchi,Korean Beef Bowl with Kimchi
lemon_herb_baked_cod,Lemon Herb Baked Cod
mushroom_risotto,Mushroom Risotto
black_bean_sweet_potato_tacos,Black Bean & Sweet Potato Tacos
chicken_tikka_masala_with_rice,Chicken Tikka Masala with Rice
mediterranean_grilled_shrimp,Mediterranean Grilled Shrimp
butternut_squash_sage_gnocchi,Butternut Squash & Sage Gnocchi
thai_green_curry_with_tofu,Thai Green Curry with Tofu
herb_roasted_chicken_with_vegetables,Herb Roasted Chicken with Vegetables
blackened_fish_tacos,Blackened Fish Tacos
mango_cashew_chicken_stir_fry,Mango & Cashew Chicken Stir Fry
ratatouille_with_polenta,Ratatouille with Polenta
soba_noodle_bowl_with_sesame_tofu,Soba Noodle Bowl with Sesame Tofu
classic_margherita_pizza,Classic Margherita Pizza
seared_tuna_ni_oise,Seared Tuna Niçoise
buffalo_cauliflower_with_brown_rice,Buffalo Cauliflower with Brown Rice
ginger_garlic_beef_broccoli,Ginger Garlic Beef & Broccoli
steak_with_mashed_potatoes,Steak with Mashed Potatoes
grilled_lemon_chicken_with_rice,Grilled Lemon Chicken with Rice
honey_garlic_salmon_with_jasmine_rice,Honey Garlic Salmon with Jasmine Rice
pork_chop_with_apple_compote,Pork Chop with Apple Compote
lamb_kofta_with_saffron_rice,Lamb Kofta with Saffron Rice
beef_in_cream_sauce_with_egg_noodles,Beef in Cream Sauce with Egg Noodles
bbq_pulled_pork_with_sweet_potato_mash,BBQ Pulled Pork with Sweet Potato Mash
garlic_butter_shrimp_with_rice,Garlic Butter Shrimp with Rice
teriyaki_chicken_and_rice,Teriyaki Chicken and Rice
sausage_and_potato_bake,Sausage and Potato Bake
baked_cod_with_lemon_butter_and_rice,Baked Cod with Lemon Butter and Rice
turkey_meatloaf_with_mustard_glaze_and_mash,Turkey Meatloaf with Mustard Glaze and Mash
creamy_prawn_pasta,Creamy Prawn Pasta
ham_cheese_omelette_with_roasted_potatoes,Ham & Cheese Omelette with Roasted Potatoes
tuna_melt_with_rustic_bread,Tuna Melt with Rustic Bread
chicken_bacon_carbonara,Chicken & Bacon Carbonara
beef_and_cheese_quesadilla,Beef and Cheese Quesadilla
seared_scallops_with_lemon_butter_and_rice,Seared Scallops with Lemon Butter and Rice
chicken_alfredo_with_fettuccine,Chicken Alfredo with Fettuccine
lamb_chickpea_stew_no_veg,Lamb & Chickpea Stew (no veg)
